ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YNL153C	GIM3	1.276	6	127	0.897	Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it
YNL080C	YNL080C	1.274	NA	2	0.645	Protein involved in N-glycosylation; deletion mutation confers sensitivity to exidative stress and shows synthetic lethality with mutations in the spindle checkpoint genes BUB3 and MAD1; YNL080C is not an essential gene
YLR338W	YLR338W	1.274	NA	NA	0.536	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C
YBR235W	YBR235W	1.272	1	1	0.925	Putative ion transporter, similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family; YBR235W is not an essential gene
YDR276C	PMP3	1.272	NA	8	0.901	Small plasma membrane protein related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature, not essential for viability, deletion causes hyperpolarization of the plasma membrane potential
YPR074C	TKL1	1.27	6	NA	0.886	Transketolase, similar to Tkl2p; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids
YKL208W	CBT1	1.266	NA	NA	1.012	Protein involved in 5' end processing of mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p
YOL143C	RIB4	1.266	4	NA	1.027	Lumazine synthase (6,7-dimethyl-8-ribityllumazine synthase, also known as DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin
YLR200W	YKE2	1.261	8	156	0.859	Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin
YKR007W	MEH1	1.261	2	NA	0.872	Component of the EGO complex, which is involved in the regulation of microautophagy, and of the GSE complex, which is required for proper sorting of amino acid permease Gap1p; loss results in a defect in vacuolar acidification
YLR357W	RSC2	1.261	32	7	0.631	Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance
YAL007C	ERP2	1.261	24	NA	0.995	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles
YGL058W	RAD6	1.26	8	84	0.583	Ubiquitin-conjugating enzyme (E2), involved in postreplication repair (with Rad18p), sporulation, telomere silencing, and ubiquitin-mediated N-end rule protein degradation (with Ubr1p)
YBR233W	PBP2	1.258	3	NA	0.893	RNA binding protein with similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length
YOR216C	RUD3	1.258	1	19	1.018	Golgi matrix protein involved in the structural organization of the cis-Golgi; interacts genetically with COG3 and USO1
YKL167C	MRP49	1.257	23	NA	1.013	Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation
YIL145C	PAN6	1.256	NA	NA	0.986	Pantothenate synthase, also known as pantoate-beta-alanine ligase, required for pantothenic acid biosynthesis, deletion causes pantothenic acid auxotrophy, homologous to E. coli panC
YIL154C	IMP2p	1.253	2	3	1.075	Transcriptional activator involved in maintenance of ion homeostasis and protection against DNA damage caused by bleomycin and other oxidants, contains a C-terminal leucine-rich repeat
YCR086W	CSM1	1.25	5	29	1.034	Nucleolar protein that forms a complex with Lrs4p which binds Mam1p at kinetochores during meiosis I to mediate accurate chromosome segregation, may be involved in premeiotic DNA replication; possible role in telomere maintenance
YOR071C	THI71	1.25	NA	NA	1.025	Transporter of thiamine or related compound; shares sequence similarity to Thi7p; proposed to be involved in 5-fluorocytosine sensitivity
YLR295C	ATP14	1.246	1	1	1.007	Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YNL215W	IES2	1.245	13	7	0.762	Protein that associates with the INO80 chromatin remodeling complex under low-salt conditions
YML109W	ZDS2	1.243	9	1	1.089	Protein that interacts with silencing proteins at the telomere, involved in transcriptional silencing; paralog of Zds1p
YLR180W	SAM1	1.24	52	1	0.922	S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)
YOR193W	PEX27	1.238	1	2	1.038	Peripheral peroxisomal membrane protein involved in controlling peroxisome size and number, interacts with homologous protein Pex25p
YBL088C	TEL1	1.23	3	2	0.986	Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; functionally redundant with Mec1p; homolog of human ataxia telangiectasia (ATM) gene
YOR141C	ARP8	1.23	16	5	0.446	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes
YKL010C	UFD4	1.225	20	1	0.991	Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins
YDR363W	ESC2	1.224	NA	43	0.964	Protein involved in mating-type locus silencing, interacts with Sir2p; probably functions to recruit or stabilize Sir proteins
YGL218W	YGL218W	1.223	NA	NA	0.599	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 93% of ORF overlaps the verified gene MDM34; deletion in cyr1 mutant results in loss of stress resistance
YDL135C	RDI1	1.221	NA	NA	0.555	Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p
YGR092W	DBF2	1.221	29	15	0.855	Ser/Thr kinase involved in transcription and stress response; functions as part of a network of genes in exit from mitosis; localization is cell cycle regulated; activated by Cdc15p during the exit from mitosis
YDR225W	HTA1	1.22	38	7	0.984	One of two nearly identical (see also HTA2) histone H2A subtypes; core histone required for chromatin assembly and chromosome function; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p
YHR199C	FMP34	1.218	5	NA	0.999	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YCR094W	CDC50	1.218	NA	11	0.698	Endosomal protein that regulates cell polarity; similar to Ynr048wp and Lem3p
YCR077C	PAT1	1.218	30	15	0.822	Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p
YBR267W	REI1	1.217	7	NA	0.671	Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network
YLL030C	YLL030C	1.216	NA	NA	1.062	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YLR024C	UBR2	1.213	4	NA	0.907	Cytoplasmic ubiquitin-protein ligase (E3)
YER113C	YER113C	1.209	NA	NA	0.96	Non-essential golgi localized protein of unknown function; contains niine potential transmembrane domains and has similarity to the endosomal protein, Emp70p
YER142C	MAG1	1.209	16	NA	1.021	3-methyl-adenine DNA glycosylase involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired
YCR034W	FEN1	1.208	NA	4	0.853	Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway
YPL174C	NIP100	1.207	3	34	0.866	Large subunit of the dynactin complex, which is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)
YLR331C	YLR331C	1.206	NA	NA	1.008	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene MID2
YHR111W	UBA4	1.204	1	11	0.855	Protein that activates Urm1p before its conjugation to proteins (urmylation); one target is the thioredoxin peroxidase Ahp1p, suggesting a role of urmylation in the oxidative stress response
YDR241W	YDR241W	1.203	NA	NA	0.725	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 1% of ORF overlaps the verified gene SNU56; diploid mutant displays a weak budding pattern phenotype in a systematic assay
YPL206C	YPL206C	1.203	1	NA	1.017	Protein that plays a role in metabolism of glycerophosphocholine to phosphatidylcholine; contains glycerophosphodiester phosphodiesterase motifs
YKL073W	LHS1	1.2	4	3	0.807	Molecular chaperone of the endoplasmic reticulum lumen, involved in polypeptide translocation and folding; member of the Hsp70 family; localizes to the lumen of the ER; regulated by the unfolded protein response pathway
YBR269C	FMP21	1.199	NA	NA	0.995	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPL031C	PHO85	1.198	16	70	1.006	Cyclin-dependent kinase, with ten cyclin partners; involved in environmental stress response; in phosphate-rich conditions, Pho85p-Pho80p complex phosphorylates Pho4p which in turn represses PHO5
YPR131C	NAT3	1.198	6	4	0.325	Catalytic subunit of the NatB N-terminal acetyltransferase, which catalyzes acetylation of the amino-terminal methionine residues of all proteins beginning with Met-Asp or Met-Glu and of some proteins beginning with Met-Asn or Met-Met
YPL045W	VPS16	1.198	6	2	0.892	Subunit of the homotypic vacuole fusion and vacuole protein sorting (HOPS) complex; part of the Class C Vps complex essential for membrane docking and fusion at both the Golgi-to-endosome and endosome-to-vacuole stages of protein transport
YMR166C	YMR166C	1.197	NA	1	0.945	Predicted transporter of the mitochondrial inner membrane; has similarity to human mitochondrial ATP-Mg/Pi carriers; YMR166C is not an essential gene
YPR057W	BRR1	1.197	8	2	0.855	snRNP protein component of spliceosomal snRNPs, required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed
YLL045C	RPL8B	1.196	116	NA	0.969	Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits
YDL151C	YDL151C	1.191	NA	NA	0.63	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 96% of ORF overlaps the verified gene RPC53; diploid mutant displays a weak budding pattern phenotype in a systematic assay
YMR179W	SPT21	1.19	NA	5	0.663	Protein required for normal transcription at several loci including HTA2-HTB2 and HHF2-HHT2, but not required at the other histone loci; functionally related to Spt10p; involved in telomere maintenance
YDR149C	YDR149C	1.19	NA	NA	0.806	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YJR069C	HAM1	1.184	1	NA	1.059	Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine
YDR432W	NPL3	1.183	23	16	0.455	RNA-binding protein that carries poly(A)+ mRNA from the nucleus into the cytoplasm; dissociation from mRNAs is promoted by Mtr10p; phosphorylated by Sky1p in the cytoplasm
YGL199C	YGL199C	1.181	NA	NA	1.008	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YIP4/YGL198W
YOL113W	SKM1	1.18	4	NA	1.008	Member of the PAK family of serine/threonine protein kinases with similarity to Ste20p and Cla4p; proposed to be a downstream effector of Cdc42p during polarized growth
YBL103C	RTG3	1.179	3	2	0.056	Basic helix-loop-helix-leucine zipper (bHLH/Zip) transcription factor that forms a complex with another bHLH/Zip protein, Rtg1p, to activate the retrograde (RTG) and TOR pathways
YAL040C	CLN3	1.177	NA	10	0.986	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis
YGR217W	CCH1	1.177	NA	2	1.03	Voltage-gated high-affinity calcium channel involved in calcium influx in response to some environmental stresses as well as exposure to mating pheromones; interacts and co-localizes with Mid1p, suggesting Cch1p and Mid1p function together
YML003W	YML003W	1.176	NA	NA	1.038	Putative protein of unknown function
YGL240W	DOC1	1.176	12	18	0.645	Processivity factor required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis
YKL053C-A	MDM35	1.175	NA	1	0.958	Mitochondrial intermembrane space cysteine motif protein; mutation affects mitochondrial distribution and morphology
YJL023C	PET130	1.174	3	1	1.041	Protein required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YDR076W	RAD55	1.173	2	19	0.985	Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p
YER014W	HEM14	1.173	NA	4	NA	Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX
YGR118W	RPS23A	1.173	19	1	0.809	Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit, required for translational accuracy; nearly identical to Rps23Bp and similar to E. coli S12 and rat S23 ribosomal proteins; deletion of both RPS23A and RPS23B is lethal
YJL048C	UBX6	1.169	NA	NA	0.991	UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p, transcription is repressed when cells are grown in media containing inositol and choline
YLR242C	ARV1	1.167	NA	5	0.625	Protein required for normal intracellular sterol distribution and for sphingolipid metabolism; similar to Nup120p and C. elegans R05H5.5 protein
YMR307W	GAS1	1.167	3	57	0.96	Beta-1.3-glucanosyltransferase, required for cell wall assembly; localizes to the cell surface via a glycosylphosphatidylinositol (GPI) anchor
YDL080C	THI3	1.166	3	3	0.991	Probable decarboxylase, required for expression of enzymes involved in thiamine biosynthesis; may have a role in catabolism of amino acids to long-chain and complex alcohols
YIL047C	SYG1	1.164	1	NA	1.021	Plasma membrane protein of unknown function; truncation and overexpression suppresses lethality of G-alpha protein deficiency
YHR189W	PTH1	1.16	NA	1	0.99	One of two (see also PTH2) mitochondrially-localized peptidyl-tRNA hydrolases; dispensable for cell growth and for mitochondrial respiration
YJR092W	BUD4	1.159	6	NA	1.031	Protein involved in bud-site selection and required for axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding; potential Cdc28p substrate
YBL089W	AVT5	1.157	NA	NA	0.927	Putative transporter, member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters
YLR188W	MDL1	1.157	NA	NA	1.023	Half-type ATP-binding cassette (ABC) transporter of the inner mitochondrial membrane, mediates export of peptides generated upon proteolysis of mitochondrial proteins, plays a role in the regulation of cellular resistance to oxidative stress
YBR300C	YBR300C	1.157	NA	NA	1.002	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR301W; YBR300C is not an essential gene
YOR366W	YOR366W	1.154	NA	NA	0.985	Hypothetical protein
YGL168W	HUR1	1.154	NA	14	0.72	Protein required for hydroxyurea resistance; has possible roles in DNA replication and maintenance of proper telomere length
YBL096C	YBL096C	1.153	NA	NA	0.958	Non-essential protein of unknown function
YPR076W	YPR076W	1.151	NA	NA	1.006	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR015C	MNN2	1.151	NA	5	0.997	Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment
YLR174W	IDP2	1.15	1	NA	1.011	Cytosolic NADP-specific isocitrate dehydrogenase, catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose
YCR084C	TUP1	1.149	11	1	NA	General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes
YOR182C	RPS30B	1.149	NA	1	0.811	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps30Ap and has similarity to rat S30 ribosomal protein
YMR238W	DFG5	1.147	NA	2	0.996	Putative mannosidase, essential glycosylphosphatidylinositol (GPI)-anchored membrane protein required for cell wall biogenesis in bud formation, involved in filamentous growth, homologous to Dcw1p
YMR073C	YMR073C	1.147	NA	3	0.973	Putative protein of unknown function; proposed to be involved in resistance to carboplatin and cisplatin; shares similarity to a human cytochrome oxidoreductase; null mutant displays increased levels of spontaneous Rad52 foci
YLL044W	YLL044W	1.146	NA	NA	1.024	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene RPL8
YDR378C	LSM6	1.145	29	13	0.936	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
YLR185W	RPL37A	1.143	3	1	0.791	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Bp and to rat L37 ribosomal protein
YNL147W	LSM7	1.142	26	19	0.915	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
YER178W	PDA1	1.141	7	5	0.886	E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA, regulated by glucose
YOR023C	AHC1	1.141	4	5	1.056	Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex
YOR305W	YOR305W	1.14	3	NA	0.589	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YOR305W is not an essential gene
YPR032W	SRO7	1.135	3	2	0.911	Putative effector of Rab GTPase Sec4p, forms a complex with Sec4p and t-SNARE Sec9p; involved in exocytosis and docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro77p and Drosophila lgl tumor suppressor
YAR030C	YAR030C	1.134	NA	NA	0.986	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9
YOR198C	BFR1	1.134	5	NA	0.941	Component of mRNP complexes associated with polyribosomes; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity
YDR392W	SPT3	1.131	23	48	0.755	Subunit of the SAGA and SAGA-like transcriptional regulatory complexes, interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes, also functions to inhibit transcription at some promoters
YOL051W	GAL11	1.13	29	16	0.616	Component of the Mediator complex; interacts with RNA polymerase II and the general transcription factors to form the RNA polymerase II holoenzyme; affects transcription by acting as target of activators and repressors
YLR148W	PEP3	1.13	11	5	0.545	Vacuolar peripheral membrane protein that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, required for vacuolar biogenesis, forms complex with Pep5p that mediates protein transport to the vacuole
YLR047C	FRE8	1.129	NA	NA	0.959	Protein with sequence similarity to iron/copper reductases, involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p
YMR244W	YMR244W	1.127	NA	NA	1.01	Putative protein of unknown function
YML095C-A	YML095C-A	NA	NA	NA	NA	NA
YMR067C	UBX4	1.124	3	1	0.977	UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p
YMR190C	SGS1	1.122	2	43	0.883	Nucleolar DNA helicase of the RecQ family involved in maintenance of genome integrity, regulates chromosome synapsis and meiotic crossing over; has similarity to human BLM and WRN helicases implicated in Bloom and Werner syndromes
YJR043C	POL32	1.121	5	45	0.975	Third subunit of DNA polymerase delta, involved in chromosomal DNA replication; required for error-prone DNA synthesis in the presence of DNA damage and processivity; interacts with Hys2p, PCNA (Pol30p), and Pol1p
YLL006W	MMM1	1.121	NA	9	1.018	Mitochondrial outer membrane protein required for normal mitochondrial morphology and mtDNA stability; involved in tethering mitochondria to the actin cytoskeleton and in anchoring mtDNA nucleoids
YLR311C	YLR311C	1.118	NA	NA	0.94	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YKR101W	SIR1	1.118	2	NA	0.958	Protein involved in repression of transcription at the silent mating-type loci HML and HMR; recruitment to silent chromatin requires interactions with Orc1p and with Sir4p, through a common Sir1p domain; binds to centromeric chromatin
YPR060C	ARO7	1.118	NA	NA	0.985	Chorismate mutase, catalyzes the conversion of chorismate to prephenate to initiate the tyrosine/phenylalanine-specific branch of aromatic amino acid biosynthesis
YFL001W	DEG1	1.116	NA	2	1.034	Non-essential tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm
YDR069C	DOA4	1.115	11	5	1.01	Ubiquitin hydrolase, required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins en route to the vacuole
YGR272C	YGR272C	1.114	4	NA	0.403	Putative protein of unknown function; deletion mutant has defects in pre-rRNA processing; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YGL038C	OCH1	1.113	NA	4	0.777	Mannosyltransferase of the cis-Golgi apparatus, initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins
YLR240W	VPS34	1.111	3	11	0.953	Phosphatidylinositol 3-kinase responsible for the synthesis of phosphatidylinositol 3-phosphate; forms membrane-associated signal transduction complex with Vps15p to regulate protein sorting; activated by the GTP-bound form of Gpa1p
YDR252W	BTT1	1.111	3	NA	0.998	Beta3 subunit of the heterotrimeric nascent polypeptide-associated complex (alpha, beta1, beta3) which binds ribosomes via its beta-subunits in close proximity to nascent polypeptides
YBR298C	MAL31	1.111	NA	1	1.001	Maltose permease, high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YPL069C	BTS1	1.11	NA	9	0.978	Geranylgeranyl diphosphate synthase, increases the intracellular pool of geranylgeranyl diphosphate, suppressor of bet2 mutation that causes defective geranylgeranylation of small GTP-binding proteins that mediate vesicular traffic
YAR020C	PAU7	1.11	NA	NA	0.986	Part of 23-member seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme
YLR146C	SPE4	1.109	1	NA	0.939	Spermine synthase, required for the biosynthesis of spermine and also involved in biosynthesis of pantothenic acid
YDR204W	COQ4	1.108	NA	NA	0.983	Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex
YOL122C	SMF1	1.107	NA	1	0.976	Divalent metal ion transporter with a broad specificity for di-valent and tri-valent metals; post-translationally regulated by levels of metal ions; member of the Nramp family of metal transport proteins
YNR019W	ARE2	1.106	1	1	1.022	Acyl-CoA:sterol acyltransferase, isozyme of Are1p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen
YML013W	SEL1	1.106	6	2	0.916	Protein involved in ER-associated protein degradation; proposed to coordinate the assembly of proteins involved in ERAD; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain
YBL100C	YBL100C	1.105	NA	NA	0.769	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1
YPL132W	COX11	1.102	NA	2	1.005	Mitochondrial inner membrane protein required for delivery of copper to the Cox1p subunit of cytochrome c oxidase; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p
YCR045C	YCR045C	1.1	NA	NA	0.96	Putative protein of unknown function
YOL003C	PFA4	1.098	NA	2	0.996	Palmitoyltransferase with autoacylation activity, required for palmitoylation of amino acid permeases containing a C-terminal Phe-Trp-Cys site; required for modification of Chs3p; member of the DHHC family of putative palmitoyltransferases
YKL002W	DID4	1.098	NA	NA	0.878	Class E Vps protein of the ESCRT-III complex, required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis
YNL003C	PET8	1.097	NA	2	1.009	S-adenosylmethionine transporter of the mitochondrial inner membrane, member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth
YNL307C	MCK1	1.097	11	13	0.971	Protein serine/threonine/tyrosine (dual-specificity) kinase involved in control of chromosome segregation and in regulating entry into meiosis; related to mammalian glycogen synthase kinases of the GSK-3 family
YPR098C	YPR098C	1.095	NA	NA	0.983	Protein of unknown function, localized to the mitochondrial outer membrane
YMR256C	COX7	1.094	NA	NA	0.931	Subunit VII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain
YIL141W	YIL141W	1.094	NA	NA	1.036	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YOR065W	CYT1	1.094	1	3	1.026	Cytochrome c1, component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex
YLR285W	NNT1	1.091	NA	NA	1.002	Putative nicotinamide N-methyltransferase, has a role in rDNA silencing and in lifespan determination
YKL140W	TGL1	1.09	1	NA	1.085	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes
YDL059C	RAD59	1.089	29	4	0.981	Protein involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; homologous to Rad52p
YBR229C	ROT2	1.088	2	14	1.077	Glucosidase II catalytic subunit required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations
YCR033W	SNT1	1.087	9	14	0.963	Subunit of the Set3C deacetylase complex that interacts directly with the Set3C subunit, Sif2p; putative DNA-binding protein
YHR127W	YHR127W	1.084	3	NA	1.023	Protein of unknown function; localizes to the nucleus
YOR127W	RGA1	1.082	5	6	0.978	GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth
YNL229C	URE2	1.082	5	2	0.795	Nitrogen catabolite repression regulator that acts by inhibition of GLN3 transcription in good nitrogen source; altered form of Ure2p creates [URE3] prion
YKL065C	YET1	1.081	NA	NA	0.99	Endoplasmic reticulum transmembrane protein; may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein
YJR135C	MCM22	1.08	14	19	1.023	Protein involved in minichromosome maintenance; component of the kinetochore; binds to centromeric DNA in a Ctf19p-dependent manner
YLR287C	YLR287C	1.079	3	3	0.989	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR287C is not an essential gene
YMR225C	MRPL44	1.076	2	NA	1.033	Mitochondrial ribosomal protein of the large subunit
YPL165C	SET6	1.076	NA	3	1.022	Protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability
YDR375C	BCS1	1.074	NA	NA	1.017	Protein of the mitochondrial inner membrane that functions as an ATP-dependent chaperone, required for the assembly of the cytochrome bc(1) complex from the Rip1p and Qcr10p proteins; member of the CDC48/PAS1/SEC18 ATPase family
YMR022W	QRI8	1.074	6	3	1.028	Ubiquitin conjugating enzyme, involved in the ER-associated protein degradation pathway; requires Cue1p for recruitment to the ER membrane; proposed to be involved in chromatin assembly
YDR459C	PFA5	1.074	NA	NA	1.027	Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain
YBL031W	SHE1	1.073	NA	1	0.985	Cytoskeletal protein of unknown function; overexpression causes growth arrest
YPR200C	ARR2	1.072	NA	NA	0.994	Arsenate reductase required for arsenate resistance; converts arsenate to arsenite which can then be exported from cells by Arr3p
