"rank","ORF","GENE","Putative TOR pathway","1 week ","2 week ","5 week ","7 weeks","Description","Function","Localization"
560,"YKR014C","YPT52",,1.72,1.96,1.38,2.63,"protein-vacuolar targeting*","RAB small monomeric GTPase activity","late endosome"
561,"YBR052C",,,0.62,4.27,2.04,-0.36,"biological_process unknown","molecular_function unknown","cytoplasm"
562,"YKL164C","PIR1",,2.17,2.16,2.6,1.19,"cell wall organization and biogenesis*","structural constituent of cell wall","cell wall (sensu Fungi)"
563,"YBR232C",,,2,1.22,1.26,3.47,,,
564,"YOR120W","GCY1",,1.68,1.04,4.1,0.8,"salinity response*","aldo-keto reductase activity","cytoplasm*"
565,"YER185W",,,2.06,1.83,3.36,0.75,"biological_process unknown","molecular_function unknown","integral to membrane"
566,"YIL025C",,,1.49,1.69,3.58,0.67,,,
567,"YGR248W","SOL4",,1.54,2.52,2.77,0.63,"biological_process unknown","6-phosphogluconolactonase activity","cytoplasm*"
568,"YIR013C","GAT4",,0.74,1.36,4.48,0.08,"transcription","transcription factor activity","nucleus"
569,"YPR160W","GPH1",,1.08,1.23,2.33,2.36,"glycogen catabolism","glycogen phosphorylase activity","cytoplasm"
570,"YBR147W",,,1.53,1.06,4.13,0.73,"biological_process unknown","molecular_function unknown","cellular_component unknown"
571,"YPL197C",,,1.51,1.49,2.44,1.98,,,
572,"YMR317W",,,1.05,0.83,0.48,4.59,"biological_process unknown","molecular_function unknown","cellular_component unknown"
573,"YDR523C","SPS1",,0.91,1.55,3.28,1.08,"protein amino acid phosphorylation*","protein serine/threonine kinase activity","cytoplasm*"
574,"YEL015W","EDC3",,1.87,1.22,3.38,1.29,"biological_process unknown","molecular_function unknown","cytoplasm"
575,"YDR275W","BSC2",,1.21,1.2,1.97,2.71,"biological_process unknown","molecular_function unknown","lipid particle"
576,"YDR015C",,,1.34,2.19,3.43,0.27,,,
577,"YLR345W",,,1.1,1.26,1.39,3.24,"biological_process unknown","molecular_function unknown","cytoplasm"
578,"YPR129W","SCD6",,1.67,1.58,2.62,1.68,"biological_process unknown","molecular_function unknown","cytoplasm"
579,"YOR209C","NPT1",,0.59,0.41,0.14,5.31,"chromatin silencing at telomere*","nicotinate phosphoribosyltransferase activity","nucleus"
580,"YIL113W","SDP1",,1.21,1.73,3.92,0.21,"MAPKKK cascade (cell wall biogenesis)","MAP kinase phosphatase activity","cytoplasm*"
581,"YLL005C","SPO75",,1.09,1.24,1.63,2.99,"sporulation (sensu Saccharomyces)","molecular_function unknown","cellular_component unknown"
582,"YNL176C",,,0.93,1.13,0.93,3.8,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
583,"YDL214C","PRR2",,2.29,3.23,2.35,0.27,"MAPKKK cascade","receptor signaling protein serine/threonine kinase activity","cellular_component unknown"
584,"YKL188C","PXA2",,1.7,1.51,1.87,2.48,"fatty acid transport","ATP-binding cassette (ABC) transporter activity","integral to peroxisomal membrane"
585,"YNL072W","RNH35",,1.81,1.97,3.53,0.35,"DNA replication","ribonuclease H activity","nucleus"
586,"YER119C","AVT6",,1.95,1.53,3.46,0.84,"amino acid transport","amino acid transporter activity","vacuole"
587,"YDL242W",,,1.83,1.45,3.59,0.78,,,
588,"YBR063C",,,1.68,1.69,3.76,0.35,"biological_process unknown","molecular_function unknown","cellular_component unknown"
589,"YLR390W","ECM19",,1.01,1.78,1.19,2.83,"cell wall organization and biogenesis","molecular_function unknown","cellular_component unknown"
590,"YNL328C","MDJ2",,1.78,1.47,3.76,0.56,"protein folding","molecular_function unknown","mitochondrial inner membrane"
591,"YBL022C","PIM1",,2.01,2.05,3.06,0.68,"proteolysis and peptidolysis*","ATP-dependent peptidase activity","mitochondrial matrix"
592,"YDR198C",,,1.92,1.5,2.67,1.61,"biological_process unknown","molecular_function unknown","cellular_component unknown"
593,"YKR011C",,,2.16,2.55,2.54,0.69,"biological_process unknown","molecular_function unknown","nucleus"
594,"YBR032W",,,0.95,2.19,3.54,0.05,,,
595,"YFR038W",,,0.53,1.05,0.46,4.26,"biological_process unknown","helicase activity","cellular_component unknown"
596,"YKR012C",,,2.18,3.08,1.68,1.02,,,
597,"YHR095W",,,1.48,2.24,3.78,-0.24,,,
598,"YPR092W",,,1.74,2.04,1.16,2.57,,,
599,"YKL117W","SBA1",,1.55,1.99,2.12,1.66,"protein folding","co-chaperone activity","cytoplasm*"
600,"YIL141W",,,2.08,2.73,2.96,0.07,,,
601,"YHR121W",,,0.6,1.91,1.76,2.08,"biological_process unknown","molecular_function unknown","cytoplasm*"
602,"YGL214W",,,1.58,1.24,3.87,0.65,,,
603,"YKR024C","DBP7",,0.01,0.02,0,5.73,"35S primary transcript processing*","ATP dependent RNA helicase activity","nucleolus"
604,"YPR118W",,,1.05,0.98,4.51,0.26,"biological_process unknown","molecular_function unknown","cytoplasm*"
605,"YDR132C",,,2.09,1.93,3.07,0.73,"biological_process unknown","molecular_function unknown","cytoplasm*"
606,"YBL095W",,,1.15,1.56,3.62,0.56,"biological_process unknown","molecular_function unknown","mitochondrion"
607,"YPL014W",,,1.42,2.44,3,0.29,"biological_process unknown","molecular_function unknown","cytoplasm*"
608,"YKL166C","TPK3",,2.28,1.85,1.36,2.52,"protein amino acid phosphorylation*","protein serine/threonine kinase activity*","cytoplasm*"
609,"YIL166C",,,0.98,1.51,3.93,0.29,"transport","transporter activity","membrane"
610,"YPL186C","UIP4",,1.26,1.76,1.64,2.31,"biological_process unknown","molecular_function unknown","nuclear membrane"
611,"YBR226C",,,1.5,2.34,1.03,2.34,,,
612,"YKL051W","SFK1",,1.95,1.77,0.61,3.34,"actin cytoskeleton organization and biogenesis*","molecular_function unknown","plasma membrane"
613,"YER174C","GRX4",,1.59,1.86,3.4,0.44,"response to oxidative stress","thiol-disulfide exchange intermediate activity","intracellular"
614,"YOL107W",,,1.98,1.16,1.76,2.8,"biological_process unknown","molecular_function unknown","Golgi apparatus*"
615,"YAL031C","FUN21",,2.4,3.48,2.32,-0.1,"biological_process unknown","molecular_function unknown","cytoplasm"
616,"YCR015C",,,1.79,1.99,2.7,1,"biological_process unknown","molecular_function unknown","cellular_component unknown"
617,"YKL220C","FRE2",,0.89,2.75,1.99,0.95,"iron ion transport*","ferric-chelate reductase activity","plasma membrane"
618,"YEL020C",,,1.63,2.99,2.66,0.02,"biological_process unknown","molecular_function unknown","cytoplasm"
619,"YNR027W","BUD17",,2.36,1.4,1.86,2.41,"bud site selection","molecular_function unknown","cytoplasm*"
620,"YPL114W",,,1.91,3.31,1.74,0.62,,,
621,"YPR068C","HOS1",,2.28,2.52,2.15,0.99,"regulation of transcription, DNA-dependent*","histone deacetylase activity","histone deacetylase complex"
622,"YOL160W",,,1.32,1.59,0.5,3.57,,,
623,"YBR225W",,,1.98,2.54,0.91,2.21,"biological_process unknown","molecular_function unknown","cellular_component unknown"
624,"YML054C","CYB2",,1.7,1.63,2.87,1.16,"electron transport","L-lactate dehydrogenase (cytochrome) activity","mitochondrial intermembrane space"
625,"YOR076C","SKI7",,1.97,1.45,3.19,1.02,"mRNA catabolism","3'-5' exonuclease activity","cytoplasm*"
626,"YPR152C",,,0.84,1.43,0.61,3.6,"biological_process unknown","molecular_function unknown","nucleus"
627,"YOR274W","MOD5",,1,1.55,2.68,1.42,"tRNA modification","tRNA isopentenyltransferase activity","nucleus*"
628,"YGR066C",,,0.94,1.79,1.57,2.27,"biological_process unknown","molecular_function unknown","cellular_component unknown"
629,"YJL170C","ASG7",,2.2,1.17,3.5,0.96,"conjugation with cellular fusion","molecular_function unknown","plasma membrane"
630,"YFR046C","CNN1",,1.19,1.01,0.32,4.3,"meiosis*","molecular_function unknown","nucleus"
631,"YOR273C","TPO4",,1.28,3.12,1.61,0.89,"polyamine transport","spermine transporter activity*","plasma membrane*"
632,"YDR043C","NRG1",,1.54,2.27,3.22,0.13,"regulation of transcription from Pol II promoter*","DNA binding*","nucleus"
633,"YDR104C","SPO71",,2.33,1.87,2.91,0.83,"spore wall assembly (sensu Saccharomyces)","molecular_function unknown","spore wall (sensu Fungi)"
634,"YER156C",,,0.8,1.49,1.22,2.89,"biological_process unknown","molecular_function unknown","cytoplasm*"
635,"YOR054C","VHS3",,2.15,1.33,3.68,0.59,"G1/S transition of mitotic cell cycle*","phosphopantothenoylcysteine decarboxylase activity","cellular_component unknown"
636,"YMR056C","AAC1",,1.71,1.35,4.1,0.14,"ATP/ADP exchange","ATP:ADP antiporter activity","mitochondrial inner membrane"
637,"YNR028W","CPR8",,2.14,2.27,2.04,1.29,"biological_process unknown","peptidyl-prolyl cis-trans isomerase activity","vacuole (sensu Fungi)"
638,"YER135C",,,1.88,1.74,3.27,0.59,,,
639,"YIL124W","AYR1",,0.51,0.47,0.3,4.83,"phosphatidic acid biosynthesis","acylglycerone-phosphate reductase activity","cytoplasm*"
640,"YLR019W","PSR2",,1.04,0.83,0.64,4.12,"response to stress","protein phosphatase activity","plasma membrane"
641,"YLR341W","SPO77",,1.12,1.07,1.4,3.12,"sporulation (sensu Saccharomyces)","molecular_function unknown","cellular_component unknown"
642,"YGL131C","SNT2",,0.88,1.85,2.54,1.19,"biological_process unknown","molecular_function unknown","cytoplasm*"
643,"YER033C","ZRG8",,1.84,3.09,2.01,0.48,"biological_process unknown","molecular_function unknown","cytoplasm"
644,"YOR252W",,,0.83,4.22,0.95,0.39,"biological_process unknown","molecular_function unknown","nucleus"
645,"YHR182W",,,1.38,3.01,1.52,1.03,"biological_process unknown","molecular_function unknown","cytoplasm"
646,"YPL078C","ATP4",,0.81,1.08,3.15,1.33,"ATP synthesis coupled proton transport","structural molecule activity*","proton-transporting ATP synthase, stator stalk (sensu Eukarya)"
647,"YPL177C","CUP9",,1.85,1.36,0.45,3.76,"transcription initiation from Pol II promoter*","specific RNA polymerase II transcription factor activity","nucleus"
648,"YPL110C",,,1.36,2.54,0.46,2.56,"biological_process unknown","molecular_function unknown","cytoplasm"
649,"YMR068W","AVO2",,1.61,2.2,2.2,1.14,"regulation of cell growth","molecular_function unknown","cytoplasm"
650,"YPL112C","PEX25",,2.15,3.09,0.78,1.68,"peroxisome organization and biogenesis","molecular_function unknown","peroxisomal membrane"
651,"YLL055W",,,0.57,1.03,1.34,3.18,"biological_process unknown","ion transporter activity","endoplasmic reticulum"
652,"YPR036W","VMA13",,0.01,0.01,0.02,5.51,"vacuolar acidification","hydrogen-transporting ATPase activity, rotational mechanism","vacuolar membrane (sensu Fungi)*"
653,"YKL140W","TGL1",,1.15,1.26,2.04,2.24,"lipid metabolism","lipase activity","lipid particle"
654,"YHR180W",,,1.83,1.05,1.25,3.24,,,
655,"YOL150C",,,1.18,1.31,0.93,3.3,,,
656,"YLR416C",,,2.24,2.91,0.93,1.69,,,
657,"YEL023C",,,2.42,2.63,2.55,0.36,"biological_process unknown","molecular_function unknown","cellular_component unknown"
658,"YNL087W",,,1.13,3.11,2.38,0.04,"biological_process unknown","molecular_function unknown","cellular_component unknown"
659,"YOL162W",,,1.76,1.4,1.13,3,"transport","transporter activity","membrane"
660,"YGR067C",,,1.18,2.09,1.32,2.11,"biological_process unknown","molecular_function unknown","cellular_component unknown"
661,"YDR131C",,,1.89,1.56,3.53,0.42,"ubiquitin-dependent protein catabolism","protein binding","ubiquitin ligase complex"
662,"YML131W",,,1.06,1.79,0.63,3.07,"biological_process unknown","molecular_function unknown","cytoplasm"
663,"YBR027C",,,2.15,1.63,3.97,-0.11,,,
664,"YAL029C","MYO4",,1.68,1.57,2.78,1.14,"mRNA localization, intracellular","microfilament motor activity","actin cap (sensu Saccharomyces)"
665,"YNL045W",,,1.48,2.02,2.96,0.51,"lipid metabolism*","aminopeptidase activity*","cytoplasm*"
666,"YDR056C",,,1.81,2.04,2.65,0.79,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
667,"YML076C","WAR1",,1.7,1.8,3.13,0.54,"response to acid","transcription factor activity","nucleus"
668,"YDR254W","CHL4",,0.75,1.26,2.15,2.07,"chromosome segregation","DNA binding","condensed nuclear chromosome kinetochore"
669,"YDR278C",,,0.67,1.25,2.8,1.42,,,
670,"YLR319C","BUD6",,1.88,1.18,1.65,2.63,"establishment of cell polarity (sensu Saccharomyces)*","cytoskeletal regulatory protein binding","actin cap (sensu Saccharomyces)*"
671,"YER152C",,,1.85,1.84,3.1,0.53,"biological_process unknown","molecular_function unknown","cytoplasm*"
672,"YEL013W","VAC8",,1.81,1.36,3.69,0.42,"protein-vacuolar targeting*","protein binding","vacuole (sensu Fungi)"
673,"YGL231C",,,1.13,0.83,3.33,1.31,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
674,"YDR346C","SVF1",,1.12,1.17,2.1,2.19,"biological_process unknown","molecular_function unknown","cytoplasm*"
675,"YDR411C",,,1.16,1.79,2.94,0.73,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
676,"YNR009W",,,1.96,3.95,1.36,0.14,"biological_process unknown","molecular_function unknown","cytoplasm*"
677,"YLR420W","URA4",,1.42,1.42,1.78,2.24,"pyrimidine nucleotide biosynthesis","dihydroorotase activity","cytoplasm*"
678,"YIR007W",,,1.21,1.09,3.92,0.43,"biological_process unknown","molecular_function unknown","cytoplasm"
679,"YPL003W","ULA1",,0.88,0.6,1.65,3.19,"protein neddylation","NEDD8 activating enzyme activity","cellular_component unknown"
680,"YLL060C","GTT2",,1.09,1.41,1.6,2.42,"glutathione metabolism","glutathione transferase activity","cell"
681,"YGL108C",,,1.24,1.26,3.33,0.84,"biological_process unknown","molecular_function unknown","cellular_component unknown"
682,"YLR041W",,,1.73,1.21,1.52,2.7,,,
683,"YFR032C-A","RPL29",,0.48,0.26,0.11,5.06,"protein biosynthesis","structural constituent of ribosome","cytoplasm*"
684,"YKL072W","STB6",,1.9,3.85,0.57,0.99,"biological_process unknown","molecular_function unknown","cellular_component unknown"
685,"YBR033W","EDS1",,0.93,1.37,3.74,0.32,"biological_process unknown","molecular_function unknown","cellular_component unknown"
686,"YML005W",,,1.14,2.11,2.32,0.99,"biological_process unknown","S-adenosylmethionine-dependent methyltransferase activity","cytoplasm"
687,"YGR152C","RSR1",,2.21,3.17,1.18,1.06,"polar budding*","signal transducer activity*","plasma membrane*"
688,"YBR129C","OPY1",,1.44,0.95,3.93,0.53,"conjugation with cellular fusion","molecular_function unknown","cytoplasm"
689,"YER184C",,,1.94,1.49,2.97,0.95,"biological_process unknown","molecular_function unknown","cellular_component unknown"
690,"YDR191W","HST4",,1.19,1,1.38,3.03,"chromatin silencing at telomere*","DNA binding","cytoplasm*"
691,"YPL245W",,,2.25,3.31,1.27,0.81,"biological_process unknown","molecular_function unknown","cytoplasm*"
692,"YNR030W","ECM39",,1.32,2.04,1.83,1.52,"protein amino acid glycosylation*","alpha-1,6-mannosyltransferase activity","endoplasmic reticulum"
693,"YLR221C","RSA3",,0.68,0.99,1.3,3.09,"biological_process unknown","molecular_function unknown","nucleolus"
694,"YGR124W","ASN2",,2.05,1.54,3.07,0.77,"asparagine biosynthesis","asparagine synthase (glutamine-hydrolyzing) activity","cytoplasm"
695,"YKR080W","MTD1",,1.56,2.36,1.71,1.31,"one-carbon compound metabolism*","methylenetetrahydrofolate dehydrogenase (NAD) activity","cytosol"
696,"YER188W",,,1.63,0.83,0.45,4.09,,,
697,"YER121W",,,1.58,1.73,2.95,0.69,,,
698,"YDL194W","SNF3",,0.75,1.91,2.93,0.53,"signal transduction*","receptor activity*","plasma membrane"
699,"YGR126W",,,1.88,0.94,2.78,1.63,"biological_process unknown","molecular_function unknown","cytoplasm*"
700,"YDL243C","AAD4",,2.12,2.55,2.32,0.48,"aldehyde metabolism","aryl-alcohol dehydrogenase activity","cellular_component unknown"
701,"YMR104C","YPK2",,1.8,1.13,2.87,1.37,"protein amino acid phosphorylation","protein kinase activity","cytoplasm*"
702,"YPL240C","HSP82",,1.62,2.39,1.72,1.24,"response to stress*","chaperonin ATPase activity","cytoplasm"
703,"YDR119W",,,1.83,1.38,2.93,1.04,"biological_process unknown","molecular_function unknown","vacuolar membrane (sensu Fungi)"
704,"YIL122W","POG1",,1.32,0.8,2.95,1.6,"re-entry into mitotic cell cycle after pheromone arrest","specific RNA polymerase II transcription factor activity","nucleus"
705,"YGR202C","PCT1",,0.97,1.65,3.22,0.48,"phosphatidylcholine biosynthesis*","choline-phosphate cytidylyltransferase activity","nucleus*"
706,"YFL042C",,,0.92,1.57,1.03,2.74,"biological_process unknown","molecular_function unknown","cellular_component unknown"
707,"YJL200C",,,2.1,2.13,3.16,0.04,"biological_process unknown","aconitate hydratase activity","mitochondrion"
708,"YPR017C","DSS4",,1.2,1.22,2.05,2.07,"secretory pathway","guanyl-nucleotide exchange factor activity*","membrane fraction*"
709,"YNL023C","FAP1",,1.09,2.01,2.43,0.89,"biological_process unknown","transcription factor activity","cellular_component unknown"
710,"YCR107W","AAD3",,1.61,0.82,4.12,0.39,"aldehyde metabolism","aryl-alcohol dehydrogenase activity","cellular_component unknown"
711,"YBR075W",,,1.49,1.7,3.28,0.34,,,
712,"YPL167C","REV3",,2.06,3.22,1.65,0.45,"DNA repair*","zeta DNA polymerase activity","nucleus"
713,"YGL121C","GPG1",,1.59,2.74,2.45,0.13,"signal transduction","signal transducer activity","cellular_component unknown"
714,"YDL121C",,,0.97,0.83,3.89,0.58,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
715,"YKL061W",,,2.25,3.56,0.9,0.84,"biological_process unknown","molecular_function unknown","endosome"
716,"YLR046C",,,1.08,0.84,0.85,3.6,"biological_process unknown","molecular_function unknown","integral to membrane"
717,"YJR119C",,,1.61,0.95,4.19,0.16,"biological_process unknown","molecular_function unknown","cytoplasm*"
718,"YOR263C",,,0.86,1.64,2.06,1.6,,,
719,"YGR138C","TPO2",,2.09,1.47,3.16,0.66,"polyamine transport","spermine transporter activity","plasma membrane*"
720,"YFL014W","HSP12",,1.38,3.07,2.03,0.18,"response to oxidative stress*","heat shock protein activity","cytoplasm*"
721,"YNL101W","AVT4",,1.23,2.41,1.97,0.9,"neutral amino acid transport","neutral amino acid transporter activity","vacuole"
722,"YLR264W","RPS28B",,0.21,0.33,0.48,4.47,"protein biosynthesis","structural constituent of ribosome","cytosolic small ribosomal subunit (sensu Eukarya)"
723,"YPR111W","DBF20",,2.06,2.38,1.58,1.31,"protein amino acid phosphorylation*","protein serine/threonine kinase activity","cytoplasm"
724,"YDR213W","UPC2",,1.55,1.31,1.47,2.5,"sterol biosynthesis*","RNA polymerase II transcription factor activity","cytoplasm*"
725,"YOL141W","PPM2",,1.04,0.76,0.39,4.13,"biological_process unknown","C-terminal protein carboxyl methyltransferase activity","cytoplasm"
726,"YJL106W","IME2",,1.68,1.52,3.22,0.54,"protein amino acid phosphorylation*","protein kinase activity","nucleus"
727,"YDR248C",,,1.31,1.32,2.77,1.18,"biological_process unknown","molecular_function unknown","cytoplasm"
728,"YFR049W","YMR31",,1.04,0.84,0.45,3.98,"protein biosynthesis","structural constituent of ribosome","mitochondrial small ribosomal subunit"
729,"YJL021C",,,1.32,2.18,1.76,1.33,,,
730,"YOR225W",,,1.8,1.67,0.45,3.15,,,
731,"YKR060W","UTP30",,1.38,0.95,0.89,3.43,"processing of 20S pre-rRNA","snoRNA binding","nucleus*"
732,"YPL183W-A","GON5",,1.86,1.95,2.48,0.83,"protein biosynthesis","structural constituent of ribosome","mitochondrion"
733,"YBR075W",,,1.05,0.92,3.27,1.08,,,
734,"YGR271W","SLH1",,1.26,0.78,2.89,1.59,"regulation of translation","RNA helicase activity","cytoplasm"
735,"YMR310C",,,1.61,1.19,1.83,2.23,"biological_process unknown","molecular_function unknown","nucleus"
736,"YER032W","FIR1",,1.62,3.8,1.09,0.37,"mRNA polyadenylation","molecular_function unknown","bud neck"
737,"YGL257C","MNT2",,2.06,1.31,2.19,1.74,"O-linked glycosylation","alpha-1,3-mannosyltransferase activity","cellular_component unknown"
738,"YEL068C",,,1.5,1.48,3.37,0.39,,,
739,"YKL185W","ASH1",,2.16,1.59,2.04,1.62,"pseudohyphal growth*","specific transcriptional repressor activity","nucleus"
740,"YOL117W","RRI2",,2.22,2.17,2.45,0.62,"adaptation to pheromone during conjugation with cellular fusion*","molecular_function unknown","signalosome complex"
741,"YLR092W","SUL2",,0.95,1.84,1.77,1.62,"sulfate transport","sulfate transporter activity","plasma membrane"
742,"YER140W",,,2.16,1.56,3.06,0.6,"biological_process unknown","molecular_function unknown","cellular_component unknown"
743,"YGR087C","PDC6",,1.1,1.64,0.65,2.94,"ethanol metabolism","pyruvate decarboxylase activity","cytoplasm"
744,"YDR458C",,,1.83,1.35,3.23,0.65,"biological_process unknown","molecular_function unknown","cellular_component unknown"
745,"YJR035W","RAD26",,0.71,1.61,2.11,1.5,"nucleotide-excision repair*","DNA dependent ATPase activity","nucleus"
746,"YBR064W",,,1.06,1.6,3.55,0.07,,,
747,"YGR157W","CHO2",,1.47,1.29,0.68,3.25,"phosphatidylcholine biosynthesis","phosphatidylethanolamine N-methyltransferase activity","endoplasmic reticulum"
748,"YER177W","BMH1",,0.77,1.86,2.7,0.66,"pseudohyphal growth*","protein binding*","nucleus"
749,"YLR399C","BDF1",,2.08,2.53,0.34,2.35,"sporulation (sensu Saccharomyces)","transcription regulator activity","nucleus"
750,"YOR291W",,,1.48,1.56,2.53,1.13,"biological_process unknown","molecular_function unknown","membrane"
751,"YMR172C-A",,,1.6,0.86,2.37,1.98,,,
752,"YGL053W","PRM8",,1.24,2.23,2.84,0.14,"conjugation with cellular fusion","molecular_function unknown","endoplasmic reticulum*"
753,"YER085C",,,2.04,1.83,3,0.38,"biological_process unknown","molecular_function unknown","cellular_component unknown"
754,"YML058C-A",,,2.28,2.93,1.53,0.74,,,
755,"YJR008W",,,0.98,1.55,3.37,0.28,"biological_process unknown","molecular_function unknown","cytoplasm*"
756,"YDR008C",,,0.54,0.96,3.83,0.41,,,
757,"YPL047W",,,0.57,1.06,0.54,3.6,"biological_process unknown","molecular_function unknown","nucleus"
758,"YNL013C",,,1.84,2.67,2.46,0.05,,,
759,"YPL147W","PXA1",,1.76,1.75,2.3,1.14,"fatty acid transport","ATP-binding cassette (ABC) transporter activity","integral to peroxisomal membrane"
760,"YCR092C","MSH3",,1.21,0.78,0.2,4.2,"DNA recombination*","damaged DNA binding","nuclear chromosome"
761,"YDR326C",,,1.28,0.75,3.61,0.82,"biological_process unknown","molecular_function unknown","cellular_component unknown"
762,"YDR034C","LYS14",,1.99,3.81,1.42,-0.05,"lysine biosynthesis, aminoadipic pathway","transcriptional activator activity","nucleus"
763,"YLL051C","FRE6",,0.82,1.26,1.2,2.71,"biological_process unknown","ferric-chelate reductase activity","vacuole (sensu Fungi)"
764,"YML056C","IMD4",,2.34,3.06,1.6,0.5,"biological_process unknown","IMP dehydrogenase activity","cytoplasm"
765,"YLR016C",,,1.14,1.68,1.54,1.94,"biological_process unknown","molecular_function unknown","cytoplasm*"
766,"YKL043W","PHD1",,2.12,2.16,1.46,1.54,"pseudohyphal growth","specific RNA polymerase II transcription factor activity","nucleus"
767,"YGR051C",,,1.47,1.56,1.7,1.9,,,
768,"YGL049C","TIF4632",,0.95,1.35,3.51,0.29,"translational initiation","translation initiation factor activity","ribosome"
769,"YHR079C","IRE1",,1.1,1.53,3.64,-0.02,"protein amino acid phosphorylation*","protein serine/threonine kinase activity*","endoplasmic reticulum membrane*"
770,"YCL036W","GFD2",,1.77,2.6,1.95,0.6,"biological_process unknown","molecular_function unknown","cellular_component unknown"
771,"YPR163C","TIF3",,1.23,1.7,2.43,1.02,"translational initiation","translation initiation factor activity","ribosome"
772,"YKL023W",,,1.83,1.24,1.8,2.11,"biological_process unknown","molecular_function unknown","cytoplasm"
773,"YLL017W","SDC25",,1.67,2.13,1.63,1.38,"RAS protein signal transduction","Ras guanyl-nucleotide exchange factor activity","cellular_component unknown"
774,"YGL077C","HNM1",,1.18,1.4,3.19,0.54,"choline transport","choline transporter activity","plasma membrane"
775,"YDR307W",,,1.21,1.61,1.87,1.67,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
776,"YFL021W","GAT1",,2.07,2.6,2.34,0.2,"transcription initiation from Pol II promoter*","specific RNA polymerase II transcription factor activity*","nucleus"
777,"YMR058W","FET3",,1.22,1.37,3.25,0.5,"high affinity iron ion transport","multicopper ferroxidase iron transport mediator activity","plasma membrane"
778,"YOL152W","FRE7",,0.93,1.33,3.39,0.4,"biological_process unknown","ferric-chelate reductase activity","cellular_component unknown"
779,"YBR250W",,,2.22,2.14,1.79,1.18,"biological_process unknown","molecular_function unknown","cellular_component unknown"
780,"YHL045W",,,1.12,1.96,2.24,0.91,,,
781,"YKR030W","GMH1",,1.94,2.26,1.73,1.11,"biological_process unknown","molecular_function unknown","cellular_component unknown"
782,"YPR174C",,,1.07,1.93,2.68,0.49,"biological_process unknown","molecular_function unknown","cellular_component unknown"
783,"YNR042W",,,2.27,1.97,2.89,0.23,,,
784,"YPL025C",,,1.76,1.91,2.94,0.24,,,
785,"YGR021W",,,0.75,0.95,2.94,1.19,"biological_process unknown","molecular_function unknown","mitochondrion"
786,"YML016C","PPZ1",,2.26,3.44,0.97,0.67,"sodium ion homeostasis","protein serine/threonine phosphatase activity","cytoplasm*"
787,"YOR325W",,,1.18,0.74,4.12,0.21,,,
788,"YBR076W","ECM8",,1.22,1.61,3.41,0.05,"cell wall organization and biogenesis","molecular_function unknown","cellular_component unknown"
789,"YBR045C","GIP1",,1.25,2.46,2.32,0.28,"spore wall assembly (sensu Saccharomyces)","protein phosphatase 1 binding","prospore membrane*"
790,"YJL142C",,,2.21,1.64,3.11,0.3,,,
791,"YKL026C","GPX1",,2.18,2.32,0.88,1.86,"response to oxidative stress","glutathione peroxidase activity","cellular_component unknown"
792,"YNL326C",,,2.09,2.42,1.26,1.36,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
793,"YIL139C","REV7",,2.3,2.55,2.52,-0.03,"DNA repair*","zeta DNA polymerase activity","nucleus"
794,"YBR108W",,,1.75,1.29,2.59,1.16,"biological_process unknown","molecular_function unknown","cellular_component unknown"
795,"YCR095C",,,1.24,1.18,1.97,1.89,"biological_process unknown","molecular_function unknown","cytoplasm"
796,"YLR413W",,,2.19,2.91,1.45,0.68,"biological_process unknown","molecular_function unknown","cellular_component unknown"
797,"YGR049W","SCM4",,1.52,1.64,1.52,1.87,"cell cycle","molecular_function unknown","mitochondrion"
798,"YIL123W","SIM1",,1.7,1.63,3.36,0.03,"microtubule cytoskeleton organization and biogenesis","molecular_function unknown","cell wall (sensu Fungi)"
799,"YPR052C","NHP6A",,1.58,1.99,2.11,0.92,"regulation of transcription from Pol II promoter*","chromatin binding","nuclear chromatin"
800,"YOL103W","ITR2",,1.61,1.64,1.29,2.08,"myo-inositol transport","myo-inositol transporter activity","membrane"
801,"YLL012W",,,1.97,3.39,0.75,0.88,"biological_process unknown","molecular_function unknown","lipid particle"
802,"YDL219W","DTD1",,1.42,1.67,1.92,1.42,"D-amino acid catabolism","hydrolase activity, acting on ester bonds","cytoplasm"
803,"YPL208W",,,1.99,2.23,2.41,0.37,"biological_process unknown","molecular_function unknown","cytoplasm*"
804,"YGR110W",,,1.14,1.25,3.51,0.26,"biological_process unknown","molecular_function unknown","cellular_component unknown"
805,"YER183C","FAU1",,1.41,1.44,2.54,1.03,"folic acid and derivative biosynthesis","5-formyltetrahydrofolate cyclo-ligase activity","cellular_component unknown"
806,"YKL020C","SPT23",,1.96,1.86,0.82,2.32,"positive regulation of transcription from Pol II promoter*","transcriptional activator activity","endoplasmic reticulum membrane"
807,"YCL026C",,,1.45,2.12,2.07,0.81,,,
808,"YOL125W",,,0.98,1.08,2.29,1.62,"biological_process unknown","molecular_function unknown","cytoplasm*"
